z_mm,center_x_mm,center_y_mm,extent_x_mm,extent_y_mm,offset_from_reference_mm,jump_from_previous_mm
20.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
20.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
20.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
20.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
20.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
21.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
21.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
21.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
21.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
21.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
22.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
22.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
22.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
22.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
22.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
23.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
23.300000100000005,0.0,0.0,40.0,39.99209213256836,0.0,0.0
23.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
23.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
23.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
24.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
24.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
24.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
24.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
24.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
25.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
25.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
25.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
25.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
25.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
26.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
26.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
26.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
26.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
26.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
27.100000100000006,0.0,0.0,40.0,39.99209213256836,0.0,0.0
27.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
27.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
27.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
27.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
28.10000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
28.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
28.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
28.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
28.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
29.10000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
29.30000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
29.50000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
29.700000100000008,0.0,0.0,40.0,39.99209213256836,0.0,0.0
29.900000100000007,0.0,0.0,40.0,39.99209213256836,0.0,0.0
30.10000010000001,0.0,0.0,40.0,39.99209213256836,0.0,0.0
